split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_leaf_nodes,param_max_samples,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_min_weight_fraction_leaf,param_n_estimators,params
-8.565902888759396,-12.833516993890163,-13.049359015040933,-19.93576015277481,-12.13437606374079,-18.649738644296615,-15.35248403307044,-8.744493068015947,-13.880253686784119,-12.315246060026157,-13.552611077846239,3.5217187410691744,1,57.36324303150177,7.909646618271431,3.452104926109314,0.22375054116286647,847,log2,354,0.8988477247566773,0.8305236111641511,0.1912104796978091,0.4302725817363328,0.06883655101219384,24761,"{'max_depth': 847, 'max_features': 'log2', 'max_leaf_nodes': 354, 'max_samples': 0.8988477247566773, 'min_impurity_decrease': 0.8305236111641511, 'min_samples_leaf': 0.1912104796978091, 'min_samples_split': 0.4302725817363328, 'min_weight_fraction_leaf': 0.06883655101219384, 'n_estimators': 24761}"
-8.682906294088198,-12.406811389735887,-13.530619396532106,-20.18817943233362,-12.071428571428573,-18.72041596504801,-15.548281982432993,-8.714285714285714,-14.182601024334058,-12.457462363483389,-13.655085699159553,3.585605943781856,1,117.3174877166748,21.758306558871528,6.612898516654968,0.44234980552919495,7687,log2,8738,0.8048367783404299,0.9447696294597954,0.49334072949684493,0.23169867952535617,0.20341944022546932,47085,"{'max_depth': 7687, 'max_features': 'log2', 'max_leaf_nodes': 8738, 'max_samples': 0.8048367783404299, 'min_impurity_decrease': 0.9447696294597954, 'min_samples_leaf': 0.49334072949684493, 'min_samples_split': 0.23169867952535617, 'min_weight_fraction_leaf': 0.20341944022546932, 'n_estimators': 47085}"
-8.710835829691106,-12.309630211658398,-13.361280263222511,-20.041300397780287,-12.07142857142857,-19.048433433187636,-15.854540097235185,-8.714285714285714,-13.98474892244229,-12.389566861464422,-13.655292669924918,3.6254229850835644,1,13.207392907142639,1.8149021169620543,0.81820650100708,0.04959401347772733,9188,log2,3512,0.18039893664260082,0.17805171304597048,0.02612420526772572,0.17943929347185014,0.03507827665610475,5818,"{'max_depth': 9188, 'max_features': 'log2', 'max_leaf_nodes': 3512, 'max_samples': 0.18039893664260082, 'min_impurity_decrease': 0.17805171304597048, 'min_samples_leaf': 0.02612420526772572, 'min_samples_split': 0.17943929347185014, 'min_weight_fraction_leaf': 0.03507827665610475, 'n_estimators': 5818}"
-8.683906007802134,-12.398020377993046,-13.46802041784051,-20.145558800910116,-12.071428571428571,-18.8206784429205,-15.600744350625803,-8.714285714285714,-14.128156493864568,-12.461337844883634,-13.654350898384175,3.5947118095078188,1,82.50926766395568,12.054735218668442,4.999229907989502,0.27935238626181474,5950,auto,8030,0.38444164951397586,0.11491532265395446,0.05928599222061203,0.43149866526786645,0.12374858551381121,35851,"{'max_depth': 5950, 'max_features': 'auto', 'max_leaf_nodes': 8030, 'max_samples': 0.38444164951397586, 'min_impurity_decrease': 0.11491532265395446, 'min_samples_leaf': 0.05928599222061203, 'min_samples_split': 0.43149866526786645, 'min_weight_fraction_leaf': 0.12374858551381121, 'n_estimators': 35851}"
-8.687309334960343,-12.378073421392518,-13.467663209273947,-20.158039032352637,-12.071428571428568,-18.861370173450705,-15.636030839203508,-8.714285714285714,-14.099416751643718,-12.462400320850598,-13.659003087618098,3.604753765616685,1,41.35606474876404,5.877334209643535,2.5388667583465576,0.1677584963753048,4217,sqrt,5444,0.31206570493514785,0.13753887251941835,0.16388886805729017,0.8655293986028082,0.42297273668137597,18029,"{'max_depth': 4217, 'max_features': 'sqrt', 'max_leaf_nodes': 5444, 'max_samples': 0.31206570493514785, 'min_impurity_decrease': 0.13753887251941835, 'min_samples_leaf': 0.16388886805729017, 'min_samples_split': 0.8655293986028082, 'min_weight_fraction_leaf': 0.42297273668137597, 'n_estimators': 18029}"
-8.685114600802967,-12.404346868594464,-13.535320424861514,-20.20214802391963,-12.071428571428568,-18.724526096457794,-15.546932967423897,-8.714285714285714,-14.19423008510522,-12.45581461109743,-13.658174107242596,3.5886802337258588,1,38.649520421028136,5.477517297330147,2.3392573595046997,0.12949252539597234,8043,auto,7514,0.863754455230028,0.08594610942478555,0.3876458726749511,0.7472316214127321,0.03127790958271665,16866,"{'max_depth': 8043, 'max_features': 'auto', 'max_leaf_nodes': 7514, 'max_samples': 0.863754455230028, 'min_impurity_decrease': 0.08594610942478555, 'min_samples_leaf': 0.3876458726749511, 'min_samples_split': 0.7472316214127321, 'min_weight_fraction_leaf': 0.03127790958271665, 'n_estimators': 16866}"
-8.579652941994716,-12.987309170260119,-12.615438951870914,-19.612133120044515,-12.126597492697176,-18.565516761719294,-15.045859994435943,-8.693070576575323,-13.635640588719948,-12.175033705340422,-13.410846898240267,3.4485215971269176,1,38.370005106925966,5.354877385674934,2.316146993637085,0.14446696002564186,8945,sqrt,1818,0.855488751019347,0.34416909384422184,0.1756179530952838,0.08087830485406508,0.161044302506578,16432,"{'max_depth': 8945, 'max_features': 'sqrt', 'max_leaf_nodes': 1818, 'max_samples': 0.855488751019347, 'min_impurity_decrease': 0.34416909384422184, 'min_samples_leaf': 0.1756179530952838, 'min_samples_split': 0.08087830485406508, 'min_weight_fraction_leaf': 0.161044302506578, 'n_estimators': 16432}"
-8.676220724808372,-12.415577394628615,-13.501612186975077,-20.164636147741966,-12.071428571428573,-18.73155638792887,-15.573533102928971,-8.714285714285714,-14.169056109453463,-12.467402039776687,-13.65331782007361,3.5844712324593195,1,16.866615104675294,2.3560257661626127,1.0158146619796753,0.059284331017622365,8190,log2,6206,0.5182724252576161,0.003947713106741802,0.4493136558475938,0.42797973975026715,0.26044188844410865,7399,"{'max_depth': 8190, 'max_features': 'log2', 'max_leaf_nodes': 6206, 'max_samples': 0.5182724252576161, 'min_impurity_decrease': 0.003947713106741802, 'min_samples_leaf': 0.4493136558475938, 'min_samples_split': 0.42797973975026715, 'min_weight_fraction_leaf': 0.26044188844410865, 'n_estimators': 7399}"
-9.129900272910449,-13.720869360063258,-12.296525492896677,-18.29458387532839,-12.555640574387226,-18.68772476853623,-14.078394801948631,-8.907573902619431,-12.936333484405257,-11.533486465328993,-13.228294507450792,3.120277538322777,1,26.37768397331238,3.528674731304002,1.5269734382629394,0.0808843379255052,2757,auto,5082,0.23033500192935813,0.6092604363932991,0.03419569090244751,0.16496313147850378,0.26125552245613337,11202,"{'max_depth': 2757, 'max_features': 'auto', 'max_leaf_nodes': 5082, 'max_samples': 0.23033500192935813, 'min_impurity_decrease': 0.6092604363932991, 'min_samples_leaf': 0.03419569090244751, 'min_samples_split': 0.16496313147850378, 'min_weight_fraction_leaf': 0.26125552245613337, 'n_estimators': 11202}"
-8.680652730375428,-12.408233788395904,-13.533739639200393,-20.19310092637738,-12.07142857142857,-18.73402608483667,-15.550627742564602,-8.714285714285714,-14.183102520346548,-12.459200249409292,-13.657646875154573,3.5888009086360877,1,108.65658526420593,15.452324807433527,6.575236678123474,0.37021192531196084,2163,sqrt,6022,0.7957461936155927,0.42153974594094,0.1673109183291376,0.967480751529357,0.04353316267399666,46880,"{'max_depth': 2163, 'max_features': 'sqrt', 'max_leaf_nodes': 6022, 'max_samples': 0.7957461936155927, 'min_impurity_decrease': 0.42153974594094, 'min_samples_leaf': 0.1673109183291376, 'min_samples_split': 0.967480751529357, 'min_weight_fraction_leaf': 0.04353316267399666, 'n_estimators': 46880}"
