split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_max_leaf_nodes,param_max_samples,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params
-11.476057014734144,-14.398832879564383,-12.643768017296605,-18.114770179372197,-12.753303171044205,-18.729420243433697,-13.111176729660475,-9.3994034272902,-12.527153759917214,-10.985081062435322,-13.43792243452265,2.8223355048771985,1,4.799150609970093,0.9965973283599417,0.049628472328186034,0.008706890916067397,False,266,auto,1957,0.005035495261043408,0.009471059706049225,0.1994844064622391,0.1631218240433615,3568,"{'bootstrap': False, 'max_depth': 266, 'max_features': 'auto', 'max_leaf_nodes': 1957, 'max_samples': 0.005035495261043408, 'min_impurity_decrease': 0.009471059706049225, 'min_samples_leaf': 0.1994844064622391, 'min_samples_split': 0.1631218240433615, 'n_estimators': 3568}"
-8.570970695970695,-12.759157509157507,-12.435897435897433,-20.11034798534799,-12.265109890109889,-18.673076923076923,-15.626373626373631,-8.824175824175827,-13.750493096646942,-12.294378698224854,-13.538368636194724,3.571545850633187,1,0.11646397113800049,0.01711293448357023,0.0023328065872192383,0.00045364061932619596,False,787,sqrt,417,0.20674592341191206,0.4656656816128155,0.277773640015011,0.5021088344623509,78,"{'bootstrap': False, 'max_depth': 787, 'max_features': 'sqrt', 'max_leaf_nodes': 417, 'max_samples': 0.20674592341191206, 'min_impurity_decrease': 0.4656656816128155, 'min_samples_leaf': 0.277773640015011, 'min_samples_split': 0.5021088344623509, 'n_estimators': 78}"
-11.215113739763419,-14.043275705186533,-12.568680618744313,-18.976378525932667,-12.433002729754323,-19.147133757961786,-15.700964513193808,-9.248489535941767,-13.020558549730525,-11.45170014698677,-13.802912397304533,3.113059818618562,1,5.458788752555847,1.2332923944363097,0.057445096969604495,0.019499919415936835,False,407,auto,8453,0.8056437228440956,0.6534282266618306,0.015894919511717894,0.7582558669563891,3925,"{'bootstrap': False, 'max_depth': 407, 'max_features': 'auto', 'max_leaf_nodes': 8453, 'max_samples': 0.8056437228440956, 'min_impurity_decrease': 0.6534282266618306, 'min_samples_leaf': 0.015894919511717894, 'min_samples_split': 0.7582558669563891, 'n_estimators': 3925}"
-12.003009185936017,-14.41154577130187,-12.5774469433006,-17.604054482103262,-12.43569844789357,-18.262749445676274,-13.995723788406716,-9.275182134938232,-12.634999147194268,-10.884018420603788,-13.432340370834538,2.658791074224117,1,0.6700649738311768,0.14578402601260537,0.007181644439697266,0.0016233650976448023,False,207,auto,9074,0.7519135737254546,0.3706678792342251,0.09589175351527769,0.5364020604871969,451,"{'bootstrap': False, 'max_depth': 207, 'max_features': 'auto', 'max_leaf_nodes': 9074, 'max_samples': 0.7519135737254546, 'min_impurity_decrease': 0.3706678792342251, 'min_samples_leaf': 0.09589175351527769, 'min_samples_split': 0.5364020604871969, 'n_estimators': 451}"
-8.585556057866185,-12.809844032549725,-13.053232368896927,-19.95346971066908,-12.116410488245931,-18.7000904159132,-15.375033905967452,-8.7436369801085,-13.85785053554041,-12.337256572541381,-13.55984223078334,3.5311363202233217,1,5.22460572719574,1.160967262319121,0.051760625839233396,0.01639184085459812,True,580,log2,8027,0.8444993042651592,0.841734733221544,0.19838859107074605,0.45808112080392843,3160,"{'bootstrap': True, 'max_depth': 580, 'max_features': 'log2', 'max_leaf_nodes': 8027, 'max_samples': 0.8444993042651592, 'min_impurity_decrease': 0.841734733221544, 'min_samples_leaf': 0.19838859107074605, 'min_samples_split': 0.45808112080392843, 'n_estimators': 3160}"
-8.3509831186573,-12.866254391100702,-12.976434426229506,-20.50146370023419,-12.103349434035907,-18.85092213114754,-15.799326697892269,-8.778176229508196,-13.983002311895754,-12.307114333753681,-13.659045349251604,3.7098368663377497,1,3.2684661626815794,0.6528248012455106,0.046768474578857425,0.018343299160412527,False,978,sqrt,6268,0.7619434380888239,0.818827673391893,0.12621373554670184,0.5479942434302073,2928,"{'bootstrap': False, 'max_depth': 978, 'max_features': 'sqrt', 'max_leaf_nodes': 6268, 'max_samples': 0.7619434380888239, 'min_impurity_decrease': 0.818827673391893, 'min_samples_leaf': 0.12621373554670184, 'min_samples_split': 0.5479942434302073, 'n_estimators': 2928}"
-8.677602223685172,-12.395435593592278,-13.504937458854512,-20.1301294711433,-12.081742374369101,-18.8015873015873,-15.583059030063636,-8.718784287908713,-14.156051833471187,-12.454113986372052,-13.655348145179842,3.5884361509431053,1,8.958783483505249,2.284810945126553,0.06193804740905762,0.01569963127614847,True,475,log2,681,0.44234605105284414,0.3756374069612486,0.39136619038141707,0.7916808819783305,3906,"{'bootstrap': True, 'max_depth': 475, 'max_features': 'log2', 'max_leaf_nodes': 681, 'max_samples': 0.44234605105284414, 'min_impurity_decrease': 0.3756374069612486, 'min_samples_leaf': 0.39136619038141707, 'min_samples_split': 0.7916808819783305, 'n_estimators': 3906}"
-8.692931684644392,-12.307638340787511,-13.340568271507497,-20.10742786985881,-12.07142857142857,-19.179821099710598,-15.993159694817153,-8.714285714285714,-14.090286631723096,-12.4412806346508,-13.700087187836408,3.667761855359448,1,3.0577192306518555,0.6970821411444809,0.022318029403686525,0.00617558026740817,True,324,sqrt,2576,0.15562679848980368,0.11425189528558424,0.22049895378044668,0.9119547672383245,1629,"{'bootstrap': True, 'max_depth': 324, 'max_features': 'sqrt', 'max_leaf_nodes': 2576, 'max_samples': 0.15562679848980368, 'min_impurity_decrease': 0.11425189528558424, 'min_samples_leaf': 0.22049895378044668, 'min_samples_split': 0.9119547672383245, 'n_estimators': 1629}"
-11.239494371118015,-14.138125970496892,-12.55194584627329,-19.074849572981368,-12.375024262422357,-19.033118206521742,-15.69441479037267,-9.245559976708075,-12.898646530100335,-11.542276337792641,-13.80193811042848,3.1091571266316778,1,2.6938109159469605,0.43541394949977313,0.030154776573181153,0.015464497595385675,False,100,auto,3432,0.7581894173584487,0.6855716774318216,0.10928412610470085,0.010015269762361292,1472,"{'bootstrap': False, 'max_depth': 100, 'max_features': 'auto', 'max_leaf_nodes': 3432, 'max_samples': 0.7581894173584487, 'min_impurity_decrease': 0.6855716774318216, 'min_samples_leaf': 0.10928412610470085, 'min_samples_split': 0.010015269762361292, 'n_estimators': 1472}"
-10.759732547737295,-13.982493753277604,-12.484807354166023,-19.272010056451858,-12.362656939260265,-19.134767251750628,-15.892988246907489,-9.153723355029767,-13.017906084414399,-11.70425061873993,-13.797047465254634,3.2182174117843463,1,7.109078359603882,1.2981063221092326,0.07565360069274903,0.024203280034906422,False,197,auto,9059,0.10304384625693118,0.6713104570906238,0.11370185037295855,0.8861312143513077,4631,"{'bootstrap': False, 'max_depth': 197, 'max_features': 'auto', 'max_leaf_nodes': 9059, 'max_samples': 0.10304384625693118, 'min_impurity_decrease': 0.6713104570906238, 'min_samples_leaf': 0.11370185037295855, 'min_samples_split': 0.8861312143513077, 'n_estimators': 4631}"
