split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_loss,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_min_weight_fraction_leaf,param_n_estimators,param_subsample,params
-8.642857142857144,-12.566449838080896,-13.704091833211638,-20.512568330963017,-12.192724440652322,-18.7927744216308,-15.414416303397998,-8.86941117285492,-14.625740972924378,-12.552039119674047,-13.790182970832332,3.627280949201456,1,7.932865476608276,1.4591721194543643,0.006068801879882813,0.0017479521866903198,0.01749732823772617,lad,8689,sqrt,293,0.1676188620444319,0.07732398087413155,0.913957957429571,0.3588899752626984,7704,0.21556781300129674,"{'learning_rate': 0.01749732823772617, 'loss': 'lad', 'max_depth': 8689, 'max_features': 'sqrt', 'max_leaf_nodes': 293, 'min_impurity_decrease': 0.1676188620444319, 'min_samples_leaf': 0.07732398087413155, 'min_samples_split': 0.913957957429571, 'min_weight_fraction_leaf': 0.3588899752626984, 'n_estimators': 7704, 'subsample': 0.21556781300129674}"
-8.861751342356401,-12.340359795215218,-13.567023372940765,-20.5920015335215,-12.071428571428568,-18.785714285714484,-15.714285714285884,-8.714285714285714,-14.408859396948309,-12.415033390448203,-13.751931238062566,3.6618972846050815,1,6.116692614555359,1.0556456812212032,0.006430792808532715,0.0017809532539308228,0.017448776656551097,ls,4982,sqrt,1569,0.07244978241253765,0.3279627511480574,0.9822493387457993,0.3961733883610869,9733,0.9730064468267579,"{'learning_rate': 0.017448776656551097, 'loss': 'ls', 'max_depth': 4982, 'max_features': 'sqrt', 'max_leaf_nodes': 1569, 'min_impurity_decrease': 0.07244978241253765, 'min_samples_leaf': 0.3279627511480574, 'min_samples_split': 0.9822493387457993, 'min_weight_fraction_leaf': 0.3961733883610869, 'n_estimators': 9733, 'subsample': 0.9730064468267579}"
-8.664305806735738,-12.343872169578049,-13.466375754317998,-20.128683667160807,-12.071428571428573,-18.618373875953065,-15.615530647925564,-8.714285714285714,-14.209096633487178,-12.438619815062825,-13.631451454598167,3.5698946272678116,1,27.46192784309387,4.982754742428968,0.014110660552978516,0.003982829058549548,0.010185146218153284,lad,5301,sqrt,4547,0.5746490886930711,0.011691088781627688,0.6569968667458371,0.4548263287879546,27969,0.33068144772921204,"{'learning_rate': 0.010185146218153284, 'loss': 'lad', 'max_depth': 5301, 'max_features': 'sqrt', 'max_leaf_nodes': 4547, 'min_impurity_decrease': 0.5746490886930711, 'min_samples_leaf': 0.011691088781627688, 'min_samples_split': 0.6569968667458371, 'min_weight_fraction_leaf': 0.4548263287879546, 'n_estimators': 27969, 'subsample': 0.33068144772921204}"
-9.061851482905908,-11.841374819827658,-12.782009918612228,-19.297102313206686,-12.071428571428568,-20.954278056731937,-17.147127030740446,-8.714285714285714,-13.162797298264145,-12.362953568651655,-13.753675159262704,3.9146232741816633,1,58.427850770950315,10.880176659204196,0.01900217533111572,0.005626234488074452,0.014999574026227638,huber,8846,auto,1647,0.7214200090059318,0.21117524061314302,0.7439950548373948,0.48834690728518226,41049,0.26997902786758166,"{'learning_rate': 0.014999574026227638, 'loss': 'huber', 'max_depth': 8846, 'max_features': 'auto', 'max_leaf_nodes': 1647, 'min_impurity_decrease': 0.7214200090059318, 'min_samples_leaf': 0.21117524061314302, 'min_samples_split': 0.7439950548373948, 'min_weight_fraction_leaf': 0.48834690728518226, 'n_estimators': 41049, 'subsample': 0.26997902786758166}"
-8.911780964121078,-11.928088487551085,-12.695827078272028,-19.508927402724094,-12.071428571428575,-20.65830899844952,-16.90375204399444,-8.714285714285714,-13.041533197501032,-12.322380281453864,-13.690032354188299,3.8901959840169695,1,11.709871006011962,2.1227730045286473,0.00569462776184082,0.0015422556846508412,0.013928173537306878,huber,2726,auto,1051,0.7860884456824639,0.138873084557322,0.7590723975781004,0.49489913920827466,8173,0.34602563202279357,"{'learning_rate': 0.013928173537306878, 'loss': 'huber', 'max_depth': 2726, 'max_features': 'auto', 'max_leaf_nodes': 1051, 'min_impurity_decrease': 0.7860884456824639, 'min_samples_leaf': 0.138873084557322, 'min_samples_split': 0.7590723975781004, 'min_weight_fraction_leaf': 0.49489913920827466, 'n_estimators': 8173, 'subsample': 0.34602563202279357}"
-8.96042103428984,-11.86893829223601,-12.689222219699174,-19.53937732923748,-12.071428571428573,-20.816155904570223,-17.14146129585261,-8.714285714285714,-13.138357376940764,-12.332096082135784,-13.741550435002825,3.939026257537549,1,64.00815134048462,12.00901505096871,0.023497462272644043,0.007323073759467751,0.013600562300116331,huber,3948,auto,983,0.2687965747635945,0.44019132830902225,0.553766496274685,0.10964814951853011,44608,0.6066108565179559,"{'learning_rate': 0.013600562300116331, 'loss': 'huber', 'max_depth': 3948, 'max_features': 'auto', 'max_leaf_nodes': 983, 'min_impurity_decrease': 0.2687965747635945, 'min_samples_leaf': 0.44019132830902225, 'min_samples_split': 0.553766496274685, 'min_weight_fraction_leaf': 0.10964814951853011, 'n_estimators': 44608, 'subsample': 0.6066108565179559}"
-12.23421891783821,-13.537363169560795,-13.64585886090021,-16.311135190781634,-13.319938195121907,-18.147819723311542,-12.673839495010478,-10.731828832944306,-12.209408552787128,-9.726958520264906,-13.286962357581475,2.336785833742516,1,3.6854151487350464,0.5682463086844319,0.0031203508377075197,0.0007544439328440321,0.015527925779973304,ls,1312,auto,4129,0.32223666466787787,0.15860272909551554,0.15402525249826948,0.047934107985752275,2481,0.7217516136572262,"{'learning_rate': 0.015527925779973304, 'loss': 'ls', 'max_depth': 1312, 'max_features': 'auto', 'max_leaf_nodes': 4129, 'min_impurity_decrease': 0.32223666466787787, 'min_samples_leaf': 0.15860272909551554, 'min_samples_split': 0.15402525249826948, 'min_weight_fraction_leaf': 0.047934107985752275, 'n_estimators': 2481, 'subsample': 0.7217516136572262}"
-8.923279031160444,-11.737370098338106,-12.799706920593382,-19.65195920451547,-12.18427816962158,-20.563694292333253,-17.079149245069395,-8.738211060456775,-12.8674561946851,-12.345572466646406,-13.704756847148895,3.9100115167485505,1,55.879813170433046,10.479242003272443,0.019521546363830567,0.005954789161584685,0.034331940225692095,huber,5331,sqrt,2414,0.052030249626776395,0.2114308363740891,0.8056388268196456,0.026819118366656465,38517,0.26025305270795496,"{'learning_rate': 0.034331940225692095, 'loss': 'huber', 'max_depth': 5331, 'max_features': 'sqrt', 'max_leaf_nodes': 2414, 'min_impurity_decrease': 0.052030249626776395, 'min_samples_leaf': 0.2114308363740891, 'min_samples_split': 0.8056388268196456, 'min_weight_fraction_leaf': 0.026819118366656465, 'n_estimators': 38517, 'subsample': 0.26025305270795496}"
-8.916050129044589,-11.872474434529035,-12.661476856503722,-19.42288027593703,-12.071428571428575,-20.56849281890848,-17.00189389986395,-8.739334654340238,-13.117263355629365,-12.357604150476899,-13.686447250341741,3.866753843957922,1,54.1886022567749,10.245752435525525,0.018937897682189942,0.005663564519447935,0.02611724175585769,huber,4673,sqrt,6430,0.012305232661671054,0.3608021819158831,0.563409676531615,0.29697812615392327,36683,0.44786488072637287,"{'learning_rate': 0.02611724175585769, 'loss': 'huber', 'max_depth': 4673, 'max_features': 'sqrt', 'max_leaf_nodes': 6430, 'min_impurity_decrease': 0.012305232661671054, 'min_samples_leaf': 0.3608021819158831, 'min_samples_split': 0.563409676531615, 'min_weight_fraction_leaf': 0.29697812615392327, 'n_estimators': 36683, 'subsample': 0.44786488072637287}"
-11.408956796916675,-14.882254304466477,-13.57973100967295,-15.920780360189948,-11.702875511818831,-13.21918746658512,-11.93885760081791,-10.679796792335948,-13.72770961195049,-7.813839469640592,-12.512277506231435,2.167358642430421,1,44.99113233089447,7.337358320165908,0.01908702850341797,0.006254487312999706,0.04053033166882482,ls,4900,log2,4526,0.11705901499392748,0.029659909200248424,0.661701214181369,0.05300364092040412,43818,0.9585834015065573,"{'learning_rate': 0.04053033166882482, 'loss': 'ls', 'max_depth': 4900, 'max_features': 'log2', 'max_leaf_nodes': 4526, 'min_impurity_decrease': 0.11705901499392748, 'min_samples_leaf': 0.029659909200248424, 'min_samples_split': 0.661701214181369, 'min_weight_fraction_leaf': 0.05300364092040412, 'n_estimators': 43818, 'subsample': 0.9585834015065573}"
