split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_max_leaf_nodes,param_max_samples,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_min_weight_fraction_leaf,param_n_estimators,params
-12.857142857142858,-14.357142857142858,-13.285714285714286,-17.982142857142858,-12.607142857142858,-17.214285714285715,-11.642857142857142,-10.285714285714286,-12.346153846153847,-10.442307692307692,-13.329710144927537,2.4525202104404467,1,1.211555290222168,0.21684060821251122,0.013714313507080078,0.003147835066248272,False,7476,auto,4648,0.6686380541513293,0.039914930667856126,0.1975701265637036,0.25372208453891903,0.1359680793251207,746,"{'bootstrap': False, 'max_depth': 7476, 'max_features': 'auto', 'max_leaf_nodes': 4648, 'max_samples': 0.6686380541513293, 'min_impurity_decrease': 0.039914930667856126, 'min_samples_leaf': 0.1975701265637036, 'min_samples_split': 0.25372208453891903, 'min_weight_fraction_leaf': 0.1359680793251207, 'n_estimators': 746}"
-8.928571428571429,-12.285714285714286,-13.214285714285714,-21.285714285714285,-12.071428571428571,-18.785714285714285,-15.714285714285714,-8.714285714285714,-14.5,-12.384615384615385,-13.793478260869565,3.7967255222097602,1,7.431063652038574,1.6978262373563824,0.06062767505645752,0.01118262911273514,True,6959,sqrt,891,0.5918602107549626,0.07922482922604525,0.14595763099371004,0.701411871336568,0.45829836558289994,4264,"{'bootstrap': True, 'max_depth': 6959, 'max_features': 'sqrt', 'max_leaf_nodes': 891, 'max_samples': 0.5918602107549626, 'min_impurity_decrease': 0.07922482922604525, 'min_samples_leaf': 0.14595763099371004, 'min_samples_split': 0.701411871336568, 'min_weight_fraction_leaf': 0.45829836558289994, 'n_estimators': 4264}"
-8.928571428571429,-12.285714285714286,-13.642857142857142,-20.142857142857142,-12.071428571428571,-18.785714285714285,-15.714285714285714,-8.714285714285714,-14.23076923076923,-12.461538461538462,-13.702898550724637,3.566720262356655,1,10.707561230659485,2.41057687490208,0.0879671335220337,0.022489580858410272,True,2005,log2,373,0.5687798918689397,0.24184938089241376,0.267008019763873,0.5353403568392159,0.4411070204655178,6210,"{'bootstrap': True, 'max_depth': 2005, 'max_features': 'log2', 'max_leaf_nodes': 373, 'max_samples': 0.5687798918689397, 'min_impurity_decrease': 0.24184938089241376, 'min_samples_leaf': 0.267008019763873, 'min_samples_split': 0.5353403568392159, 'min_weight_fraction_leaf': 0.4411070204655178, 'n_estimators': 6210}"
-8.928571428571429,-12.285714285714286,-13.214285714285714,-21.285714285714285,-12.071428571428571,-18.785714285714285,-15.714285714285714,-8.714285714285714,-14.23076923076923,-12.384615384615385,-13.768115942028986,3.792818437674242,1,6.570212244987488,1.492053902385788,0.056723403930664065,0.013142290534346596,True,2189,log2,7091,0.7180071414060648,0.31565208925773075,0.3080320713359367,0.21705323146414027,0.32509242890248974,3782,"{'bootstrap': True, 'max_depth': 2189, 'max_features': 'log2', 'max_leaf_nodes': 7091, 'max_samples': 0.7180071414060648, 'min_impurity_decrease': 0.31565208925773075, 'min_samples_leaf': 0.3080320713359367, 'min_samples_split': 0.21705323146414027, 'min_weight_fraction_leaf': 0.32509242890248974, 'n_estimators': 3782}"
-8.928571428571429,-12.285714285714286,-13.428571428571429,-20.714285714285715,-12.071428571428571,-18.785714285714285,-15.714285714285714,-8.714285714285714,-14.23076923076923,-12.461538461538462,-13.73913043478261,3.6752194113169487,1,11.29838969707489,2.460129362165152,0.13001184463500975,0.03422300178688758,False,1551,sqrt,4215,0.643256361561248,0.18142383587761649,0.3579222294809054,0.6713668095423806,0.06797155200424472,9463,"{'bootstrap': False, 'max_depth': 1551, 'max_features': 'sqrt', 'max_leaf_nodes': 4215, 'max_samples': 0.643256361561248, 'min_impurity_decrease': 0.18142383587761649, 'min_samples_leaf': 0.3579222294809054, 'min_samples_split': 0.6713668095423806, 'min_weight_fraction_leaf': 0.06797155200424472, 'n_estimators': 9463}"
-13.071428571428571,-13.464285714285714,-12.321428571428571,-18.0,-12.607142857142858,-16.857142857142858,-12.214285714285714,-9.892857142857142,-12.153846153846153,-10.23076923076923,-13.108695652173912,2.4393442922452464,1,9.384354972839356,2.0292879405730972,0.06742606163024903,0.01043415060438629,True,6902,auto,8937,0.9527713534348813,0.14620753084705043,0.053908667044365886,0.16545588033611522,0.0022150398880324,4363,"{'bootstrap': True, 'max_depth': 6902, 'max_features': 'auto', 'max_leaf_nodes': 8937, 'max_samples': 0.9527713534348813, 'min_impurity_decrease': 0.14620753084705043, 'min_samples_leaf': 0.053908667044365886, 'min_samples_split': 0.16545588033611522, 'min_weight_fraction_leaf': 0.0022150398880324, 'n_estimators': 4363}"
-8.928571428571429,-12.285714285714286,-13.214285714285714,-21.285714285714285,-12.071428571428571,-18.785714285714285,-15.714285714285714,-8.714285714285714,-14.23076923076923,-12.461538461538462,-13.77536231884058,3.7902408725659558,1,9.956796503067016,2.2688611227442004,0.07836511135101318,0.0217075601568126,True,3974,sqrt,7232,0.6494099158943386,0.39790872955852763,0.11244342902234637,0.61414190131957,0.11051738887522863,5725,"{'bootstrap': True, 'max_depth': 3974, 'max_features': 'sqrt', 'max_leaf_nodes': 7232, 'max_samples': 0.6494099158943386, 'min_impurity_decrease': 0.39790872955852763, 'min_samples_leaf': 0.11244342902234637, 'min_samples_split': 0.61414190131957, 'min_weight_fraction_leaf': 0.11051738887522863, 'n_estimators': 5725}"
-13.285714285714286,-13.928571428571429,-12.178571428571429,-17.321428571428573,-11.75,-17.25,-12.428571428571429,-9.428571428571429,-11.923076923076923,-9.576923076923077,-12.93840579710145,2.5663376818558206,1,17.553478622436522,4.082918041653974,0.17017910480499268,0.04001808907541332,False,571,auto,3501,0.8469174272383059,0.1896181235931375,0.029467389280998867,0.25435502389914155,0.09598803472481052,9649,"{'bootstrap': False, 'max_depth': 571, 'max_features': 'auto', 'max_leaf_nodes': 3501, 'max_samples': 0.8469174272383059, 'min_impurity_decrease': 0.1896181235931375, 'min_samples_leaf': 0.029467389280998867, 'min_samples_split': 0.25435502389914155, 'min_weight_fraction_leaf': 0.09598803472481052, 'n_estimators': 9649}"
-8.928571428571429,-14.214285714285714,-12.714285714285714,-18.428571428571427,-12.392857142857142,-18.785714285714285,-15.714285714285714,-9.0,-12.846153846153847,-11.846153846153847,-13.503623188405797,3.2414755239886133,1,6.224458813667297,1.3849324177383453,0.07422828674316406,0.016008518340349803,False,8182,auto,1112,0.23350909732668015,0.27314602950758754,0.208569161584546,0.2057171753914163,0.38949020296063547,4784,"{'bootstrap': False, 'max_depth': 8182, 'max_features': 'auto', 'max_leaf_nodes': 1112, 'max_samples': 0.23350909732668015, 'min_impurity_decrease': 0.27314602950758754, 'min_samples_leaf': 0.208569161584546, 'min_samples_split': 0.2057171753914163, 'min_weight_fraction_leaf': 0.38949020296063547, 'n_estimators': 4784}"
-8.928571428571429,-12.285714285714286,-13.642857142857142,-20.142857142857142,-12.071428571428571,-18.785714285714285,-15.714285714285714,-8.714285714285714,-14.23076923076923,-12.461538461538462,-13.702898550724637,3.566720262356655,1,5.742508864402771,1.2752406084056245,0.058034324645996095,0.011166646925527733,True,8907,log2,2660,0.18250054157986828,0.7197555601628686,0.46974364419501297,0.38728197981134505,0.2170164928054048,3310,"{'bootstrap': True, 'max_depth': 8907, 'max_features': 'log2', 'max_leaf_nodes': 2660, 'max_samples': 0.18250054157986828, 'min_impurity_decrease': 0.7197555601628686, 'min_samples_leaf': 0.46974364419501297, 'min_samples_split': 0.38728197981134505, 'min_weight_fraction_leaf': 0.2170164928054048, 'n_estimators': 3310}"
