split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_min_weight_fraction_leaf,param_n_estimators,params
-11.24718105670103,-13.44507087628866,-12.437822164948454,-25.430815077319586,-10.90415592783505,-14.162786830728303,-12.562188227469239,-13.421849018955767,-11.60766544728966,-10.209012304622549,-13.561111111111112,4.161771012999419,1,0.5378494262695312,0.08449501081998095,0.1082465648651123,0.0057402417749390046,True,mae,7616,auto,5075,74,64,0.10974826124948353,194,"{'bootstrap': True, 'criterion': 'mae', 'max_depth': 7616, 'max_features': 'auto', 'max_leaf_nodes': 5075, 'min_samples_leaf': 74, 'min_samples_split': 64, 'min_weight_fraction_leaf': 0.10974826124948353, 'n_estimators': 194}"
-11.544867247112112,-12.25016895125745,-11.396610701618595,-24.01272653339239,-12.582256405300388,-15.732617146833318,-11.358047909316157,-12.70937843383205,-12.209289488608047,-12.068685443110624,-13.598700717176175,3.697104533412086,1,7.953153324127197,1.683411427908629,0.7091463804244995,0.1627431343816174,True,mse,2566,log2,6621,28,43,0.03205581865192559,3301,"{'bootstrap': True, 'criterion': 'mse', 'max_depth': 2566, 'max_features': 'log2', 'max_leaf_nodes': 6621, 'min_samples_leaf': 28, 'min_samples_split': 43, 'min_weight_fraction_leaf': 0.03205581865192559, 'n_estimators': 3301}"
-11.250338098918082,-13.426584234930449,-12.933986186244205,-25.734332737635242,-10.585454501545595,-14.396812833424738,-12.716252430572869,-13.662162835917632,-11.651044523109139,-10.642331854215486,-13.717171438384732,4.225016987097891,1,6.874051403999329,1.6627152009537791,0.8040546894073486,0.21462407710473153,True,mae,6981,log2,4243,84,11,0.4949855580812814,2588,"{'bootstrap': True, 'criterion': 'mae', 'max_depth': 6981, 'max_features': 'log2', 'max_leaf_nodes': 4243, 'min_samples_leaf': 84, 'min_samples_split': 11, 'min_weight_fraction_leaf': 0.4949855580812814, 'n_estimators': 2588}"
-11.608396712273397,-12.33784720711403,-11.308492287006485,-24.206848734856237,-12.875932628515077,-16.467184504649275,-11.571470367920883,-12.854387067177283,-12.542500139085636,-12.791439735988389,-13.866149201561754,3.735349142171941,1,5.93376100063324,1.177186091089442,0.615693473815918,0.03657372568521474,True,mse,8780,auto,9215,48,17,0.4221145865577177,2528,"{'bootstrap': True, 'criterion': 'mse', 'max_depth': 8780, 'max_features': 'auto', 'max_leaf_nodes': 9215, 'min_samples_leaf': 48, 'min_samples_split': 17, 'min_weight_fraction_leaf': 0.4221145865577177, 'n_estimators': 2528}"
-11.19506172839506,-13.466358024691356,-12.663541666666667,-25.60200617283951,-10.584992283950617,-14.063440860215058,-12.674352847471127,-13.571365989645562,-11.494663480684988,-10.593389088012744,-13.608559670781892,4.20317398589722,1,1.126221227645874,0.2013866510821102,0.21944015026092528,0.05761882985300706,False,mae,3109,log2,1718,84,63,0.15911318347968342,405,"{'bootstrap': False, 'criterion': 'mae', 'max_depth': 3109, 'max_features': 'log2', 'max_leaf_nodes': 1718, 'min_samples_leaf': 84, 'min_samples_split': 63, 'min_weight_fraction_leaf': 0.15911318347968342, 'n_estimators': 405}"
-11.20359829361874,-13.396014236672052,-12.51365294325525,-25.504395320072696,-10.593459713247173,-13.981691984991402,-12.625687242691123,-13.464185210276721,-11.493371853666163,-10.392340663922038,-13.534702989973587,4.19247169711552,1,11.236702275276183,1.977625143892655,1.5062160253524781,0.30849916333720506,False,mae,1087,sqrt,1725,55,41,0.22315572440326586,4952,"{'bootstrap': False, 'criterion': 'mae', 'max_depth': 1087, 'max_features': 'sqrt', 'max_leaf_nodes': 1725, 'min_samples_leaf': 55, 'min_samples_split': 41, 'min_weight_fraction_leaf': 0.22315572440326586, 'n_estimators': 4952}"
-11.215355094466936,-13.286563765182185,-12.289294450067477,-25.325763326585694,-10.467906545209177,-13.606199120630361,-12.51027382351661,-13.323701623786514,-11.478744939271257,-9.996560881110966,-13.36855921855922,4.185434708985896,1,2.924437093734741,0.25393189874885075,0.5226138591766357,0.12782251673427605,False,mae,7809,sqrt,1369,47,38,0.16798529492418776,1482,"{'bootstrap': False, 'criterion': 'mae', 'max_depth': 7809, 'max_features': 'sqrt', 'max_leaf_nodes': 1369, 'min_samples_leaf': 47, 'min_samples_split': 38, 'min_weight_fraction_leaf': 0.16798529492418776, 'n_estimators': 1482}"
-11.67252342820467,-12.257849998412109,-11.515278921204844,-24.375807734689708,-12.715562426925175,-16.798294339343002,-11.60574179404989,-12.927906285856594,-12.612615211921662,-13.043301933432197,-13.961296402554515,3.783639249767809,1,2.2208704233169554,0.481044643760831,0.2060377836227417,0.061957425676169374,True,mse,2386,sqrt,3637,19,45,0.3992806409832053,879,"{'bootstrap': True, 'criterion': 'mse', 'max_depth': 2386, 'max_features': 'sqrt', 'max_leaf_nodes': 3637, 'min_samples_leaf': 19, 'min_samples_split': 45, 'min_weight_fraction_leaf': 0.3992806409832053, 'n_estimators': 879}"
-11.240182912484315,-13.429167973651193,-12.740952399623588,-25.588373392409032,-10.716583673149309,-14.244758570445624,-12.648783745497227,-13.568538268506902,-11.624129801270895,-10.563539685109482,-13.654065344247275,4.184161074735399,1,8.253985071182251,1.6594172105445841,0.7453094720840454,0.1127476748889647,True,mae,742,log2,1628,63,50,0.34871944358271234,3188,"{'bootstrap': True, 'criterion': 'mae', 'max_depth': 742, 'max_features': 'log2', 'max_leaf_nodes': 1628, 'min_samples_leaf': 63, 'min_samples_split': 50, 'min_weight_fraction_leaf': 0.34871944358271234, 'n_estimators': 3188}"
-11.18948760751471,-13.552342688999547,-12.825628112267996,-25.619730364418288,-10.579532593933907,-14.245724966778134,-12.763920325939338,-13.621971699353086,-11.514442383796492,-10.651404080082946,-13.673830002802386,4.200362325306006,1,4.0969473123550415,0.9640367873675592,0.4855559587478638,0.09145775371198808,False,mae,7656,log2,2805,97,27,0.008116737383613517,2209,"{'bootstrap': False, 'criterion': 'mae', 'max_depth': 7656, 'max_features': 'log2', 'max_leaf_nodes': 2805, 'min_samples_leaf': 97, 'min_samples_split': 27, 'min_weight_fraction_leaf': 0.008116737383613517, 'n_estimators': 2209}"
