split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_min_weight_fraction_leaf,param_n_estimators,params
-11.24710910032914,-12.665330029153829,-11.3918811653318,-23.569934601935273,-13.085084604738633,-14.548034485295311,-11.134680498874346,-12.887263750852584,-12.241303713894464,-11.030688181085592,-13.396190328818124,3.577360058133114,1,9.82567081451416,1.3565687152448884,1.398776912689209,0.18296964876567717,False,mse,4819,auto,699,30,17,0.1942926362051055,4436,"{'bootstrap': False, 'criterion': 'mse', 'max_depth': 4819, 'max_features': 'auto', 'max_leaf_nodes': 699, 'min_samples_leaf': 30, 'min_samples_split': 17, 'min_weight_fraction_leaf': 0.1942926362051055, 'n_estimators': 4436}"
-11.53930326109884,-12.424118422519086,-11.265757044779743,-24.12530055991064,-13.028160729742705,-16.290330863405263,-11.612025568689035,-12.805140800077835,-12.598379407123272,-12.638706856033677,-13.842941488675665,3.7022546008482733,1,3.1376824378967285,0.4047755923763002,0.5052578687667847,0.058622196636229425,False,mse,9988,auto,5152,29,7,0.3987601662409868,1476,"{'bootstrap': False, 'criterion': 'mse', 'max_depth': 9988, 'max_features': 'auto', 'max_leaf_nodes': 5152, 'min_samples_leaf': 29, 'min_samples_split': 7, 'min_weight_fraction_leaf': 0.3987601662409868, 'n_estimators': 1476}"
-11.53356032837847,-12.528562523652262,-11.576930446828579,-22.63337134637448,-11.215598206451446,-12.855045922173648,-10.60664440931791,-12.813983352896868,-11.253349063732685,-9.52448053838389,-12.673889946462168,3.4856204484457054,1,9.015370750427246,1.377852000963155,1.2155426025390625,0.17231563596607835,False,mse,6113,auto,7259,23,14,0.09542983369475005,3804,"{'bootstrap': False, 'criterion': 'mse', 'max_depth': 6113, 'max_features': 'auto', 'max_leaf_nodes': 7259, 'min_samples_leaf': 23, 'min_samples_split': 14, 'min_weight_fraction_leaf': 0.09542983369475005, 'n_estimators': 3804}"
-11.551527105792879,-12.392485201229043,-11.600088977462901,-22.489992035200338,-11.199908786227265,-12.643259217721628,-10.441167786411258,-12.621163413277412,-11.10804244340411,-9.244617068731452,-12.550139095889266,3.4837703541823912,1,10.286896586418152,1.5144035877831454,1.3161708116531372,0.15828137809694343,False,mse,5727,auto,7903,21,7,0.08416685917598561,4190,"{'bootstrap': False, 'criterion': 'mse', 'max_depth': 5727, 'max_features': 'auto', 'max_leaf_nodes': 7903, 'min_samples_leaf': 21, 'min_samples_split': 7, 'min_weight_fraction_leaf': 0.08416685917598561, 'n_estimators': 4190}"
-12.489571825312833,-12.33008333958842,-12.564741927487638,-21.73619942568765,-9.362094951726647,-10.957295907720766,-10.001630396741572,-14.404648289899633,-12.055737694763927,-9.459062522456565,-12.55452617838971,3.435374267277689,1,19.744846296310424,3.4137733025391497,1.3199547052383422,0.1889275592259794,False,mse,1273,auto,10000,3,2,0.0,3763,"{'bootstrap': False, 'criterion': 'mse', 'max_depth': 1273, 'max_features': 'auto', 'max_leaf_nodes': 10000, 'min_samples_leaf': 3, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 3763}"
-11.498392088073835,-12.042193831540773,-12.029437344013076,-21.826769537622965,-10.840420510850663,-11.799974979277533,-10.023188837756775,-12.089468040511047,-11.4621563236614,-8.578855566989988,-12.241758038670923,3.388718248187252,1,13.51485104560852,2.1885578312393053,1.5912385940551759,0.19725788953436418,False,mse,8290,auto,10000,14,2,0.0,5000,"{'bootstrap': False, 'criterion': 'mse', 'max_depth': 8290, 'max_features': 'auto', 'max_leaf_nodes': 10000, 'min_samples_leaf': 14, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 5000}"
-11.604146962052667,-12.059390803156074,-11.688698832800144,-23.490835696448244,-12.188089848810378,-14.450096296065343,-11.042860475555706,-12.657825334354317,-12.017723697695615,-10.891486154408106,-13.224942664396865,3.575922421360828,1,0.2822305679321289,0.036391135985086295,0.10590455532073975,0.0033094631276315133,False,mse,10000,sqrt,10,14,100,0.0,100,"{'bootstrap': False, 'criterion': 'mse', 'max_depth': 10000, 'max_features': 'sqrt', 'max_leaf_nodes': 10, 'min_samples_leaf': 14, 'min_samples_split': 100, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100}"
-11.544595808383235,-13.034535928143713,-12.064045658682634,-24.527548652694612,-9.865793413173652,-12.373675874058334,-11.850314854162644,-12.705335136179256,-11.077998841027624,-8.865613289549932,-12.813427620948579,4.121859689261756,1,17.967476963996887,2.718480946039518,1.297097110748291,0.15081710260594555,True,mae,5670,auto,10000,14,89,0.0,4175,"{'bootstrap': True, 'criterion': 'mae', 'max_depth': 5670, 'max_features': 'auto', 'max_leaf_nodes': 10000, 'min_samples_leaf': 14, 'min_samples_split': 89, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 4175}"
-11.469288889938715,-12.132612730110512,-11.952980399793791,-21.916574835725026,-10.848030566037526,-11.934664563640002,-10.089652599228035,-12.071433003113047,-11.357180949015431,-8.644201598702756,-12.26423717973351,3.4050773243127717,1,9.83480191230774,1.547469259111095,1.1724661827087401,0.1358223656694491,False,mse,9928,auto,3761,16,2,0.0,3788,"{'bootstrap': False, 'criterion': 'mse', 'max_depth': 9928, 'max_features': 'auto', 'max_leaf_nodes': 3761, 'min_samples_leaf': 16, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 3788}"
-11.606951836777291,-12.768517793780005,-12.003665727405552,-23.792491781465248,-9.736142637236487,-11.962870570491713,-11.362760148396523,-12.52682785599343,-10.772200564229973,-8.414917755738244,-12.518334973313058,3.991908540020699,1,22.76029715538025,3.4567559725028683,1.473606824874878,0.1915334960034924,True,mae,3559,auto,10000,15,2,0.0,4791,"{'bootstrap': True, 'criterion': 'mae', 'max_depth': 3559, 'max_features': 'auto', 'max_leaf_nodes': 10000, 'min_samples_leaf': 15, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 4791}"
-11.483935196087673,-12.345744493560744,-11.7758824148873,-22.40217307067544,-11.224659173341099,-12.64561640541269,-10.56444883025245,-12.592133377735005,-11.209057946448002,-9.178103622334397,-12.562878681908987,3.450273159273028,1,18.378139781951905,2.899354308548589,1.5967536211013793,0.19783950648220391,True,mse,9717,auto,10000,15,2,0.0,4909,"{'bootstrap': True, 'criterion': 'mse', 'max_depth': 9717, 'max_features': 'auto', 'max_leaf_nodes': 10000, 'min_samples_leaf': 15, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 4909}"
-11.670503125,-12.472996875,-12.609853125,-23.3376125,-9.3801625,-11.28784516129032,-10.860558064516129,-12.439354838709681,-10.95931290322581,-7.964790322580645,-12.323631111111112,3.9532191056632833,1,23.53784077167511,4.259698953079166,1.5869043827056886,0.19130625192405454,False,mae,2815,auto,10000,15,2,0.0,5000,"{'bootstrap': False, 'criterion': 'mae', 'max_depth': 2815, 'max_features': 'auto', 'max_leaf_nodes': 10000, 'min_samples_leaf': 15, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 5000}"
-11.686964202965708,-12.228973586654309,-12.816038191226443,-23.108115152919368,-9.203153962001853,-10.94019751462425,-10.657936958753126,-12.398860952494843,-11.158240904062902,-8.08843313701456,-12.253770147746051,3.902177319652858,1,17.192129564285278,3.024781805090964,1.043378973007202,0.14732196822486884,False,mae,10000,auto,9818,10,2,0.0,3237,"{'bootstrap': False, 'criterion': 'mae', 'max_depth': 10000, 'max_features': 'auto', 'max_leaf_nodes': 9818, 'min_samples_leaf': 10, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 3237}"
