Date	Day	1st Drop	2nd Drop	Total number of people fed
02/11/18	Fri	25	10	35
03/11/18	Sat	15	13	28
03/11/18	Sat	40	20	60
04/11/18	Sun	22	8	30
05/11/18	Mon	40	15	55
10/11/18	Sat	25	15	40
11/11/18	Sun	25	15	40
12/11/18	Mon	25	25	50
12/11/18	Mon	25	15	40
12/11/18	Mon	25	15	40
12/11/18	Mon	20	15	35
16/11/18	Fri	10	20	30
16/11/18	Fri	10	20	30
28/11/18	Wed	25	11	36
29/11/18	Thu	25	11	36
01/12/18	Sat	16	11	27
02/12/18	Sun	16	7	23
03/12/18	Mon	30	15	45
07/12/18	Fri	27	18	45
08/12/18	Sat	25	15	40
09/12/18	Sun	30	15	45
10/12/18	Mon	20	15	35
14/12/18	Fri	22	8	30
15/12/18	Sat	20	10	30
28/12/18	Fri	11	4	15
30/12/18	Sun	8	10	18
31/12/18	Mon	13	10	23
06/01/19	Sun	25	7	32
06/01/19	Sun	25	30	55
12/01/19	Sat	20	10	30
19/01/19	Sat	20	15	35
23/01/19	Wed	23	12	35
24/01/19	Thu	25	12	37
24/01/19	Thu	25	8	33
25/01/19	Fri	6	6	12
26/01/19	Sat	20	5	25
02/02/19	Sat	45	15	60
03/02/19	Sun	26	14	40
03/02/19	Sun	25	10	35
04/02/19	Mon	47	14	61
09/02/19	Sat	25	13	38
11/02/19	Mon	25	10	35
21/02/19	Thu	31	14	45
23/02/19	Sat	22	13	35
24/02/19	Sun	21	10	31
25/02/19	Mon	34	22	56
02/03/19	Sat	20	15	35
03/03/19	Sun	25	20	45
03/03/19	Sun	15	12	27
09/03/19	Sat	25	20	45
21/03/19	Thu	36	14	50
21/03/19	Thu	21	16	37
22/03/19	Fri	35	15	50
23/03/19	Sat	25	10	35
25/03/19	Mon	40	18	58
31/03/19	Sun	30	15	45
05/04/19	Fri	25	15	40
06/04/19	Sat	35	20	55
07/04/19	Sun	35	17	52
10/04/19	Wed	35	23	58
11/04/19	Thu	30	21	51
17/04/19	Wed	34	18	52
18/04/19	Thu	20	15	35
20/04/19	Sat	29	19	48
22/04/19	Mon	60	25	85
29/04/19	Mon	25	20	45
29/04/19	Mon	35	26	61
03/05/19	Fri	25	12	37
04/05/19	Sat	20	20	40
