date,fst,snd,total
2018-11-11,25.0,15.0,40.0
2018-11-12,23.333333333333332,18.333333333333332,41.666666666666664
2018-11-16,10.0,20.0,30.0
2018-11-28,25.0,11.0,36.0
2018-11-29,25.0,11.0,36.0
2018-12-01,16.0,11.0,27.0
2018-12-02,16.0,7.0,23.0
2018-12-03,30.0,15.0,45.0
2018-12-07,27.0,18.0,45.0
2018-12-08,25.0,15.0,40.0
2018-12-09,30.0,15.0,45.0
2018-12-10,20.0,15.0,35.0
2018-12-14,22.0,8.0,30.0
2018-12-15,20.0,10.0,30.0
2018-12-28,11.0,4.0,15.0
2018-12-30,8.0,10.0,18.0
2018-12-31,13.0,10.0,23.0
2019-01-06,25.0,18.5,43.5
2019-01-12,20.0,10.0,30.0
2019-01-19,20.0,15.0,35.0
2019-01-23,23.0,12.0,35.0
2019-01-24,25.0,10.0,35.0
2019-01-25,6.0,6.0,12.0
2019-01-26,20.0,5.0,25.0
2019-02-02,45.0,15.0,60.0
2019-02-03,25.5,12.0,37.5
2019-02-04,47.0,14.0,61.0
2019-02-09,25.0,13.0,38.0
2019-02-11,25.0,10.0,35.0
2019-02-21,31.0,14.0,45.0
2019-02-23,22.0,13.0,35.0
2019-02-24,21.0,10.0,31.0
2019-02-25,34.0,22.0,56.0
2019-03-02,20.0,15.0,35.0
2019-03-03,20.0,16.0,36.0
2019-03-09,25.0,20.0,45.0
2019-03-21,28.5,15.0,43.5
2019-03-22,35.0,15.0,50.0
2019-03-23,25.0,10.0,35.0
2019-03-25,40.0,18.0,58.0
2019-03-31,30.0,15.0,45.0
2019-04-05,25.0,15.0,40.0
2019-04-06,35.0,20.0,55.0
2019-04-07,35.0,17.0,52.0
2019-04-10,35.0,23.0,58.0
2019-04-11,30.0,21.0,51.0
2019-04-17,34.0,18.0,52.0
2019-04-18,20.0,15.0,35.0
2019-04-20,29.0,19.0,48.0
2019-04-22,60.0,25.0,85.0
2019-04-29,30.0,23.0,53.0
2019-05-03,25.0,12.0,37.0
2019-05-04,20.0,20.0,40.0
2019-05-05,25.0,15.0,40.0
2019-05-09,50.0,17.0,67.0
2019-05-16,38.0,25.0,63.0
2019-05-18,42.5,22.5,65.0
2019-05-20,40.0,25.0,65.0
2019-05-26,50.0,20.0,70.0
2019-05-27,50.0,15.0,65.0
2019-05-30,45.0,35.0,80.0
2019-06-01,15.5,15.0,30.5
2019-06-02,30.0,28.0,58.0
2019-06-03,60.0,20.0,80.0
2019-06-10,17.0,15.0,32.0
2019-06-13,35.0,15.0,50.0
2019-06-15,25.0,17.0,42.0
2019-06-17,45.0,40.0,85.0
2019-06-23,30.0,20.0,50.0
2019-06-24,30.0,15.0,45.0
2019-06-27,35.0,20.0,55.0
2019-06-29,35.0,18.0,53.0
2019-07-07,40.0,20.0,60.0
2019-07-12,25.0,15.0,40.0
2019-07-14,21.0,18.0,39.0
2019-07-15,40.0,30.0,70.0
2019-07-19,30.0,15.0,45.0
2019-07-22,58.0,25.0,83.0
2019-07-27,35.0,21.5,56.5
2019-08-01,26.0,12.0,38.0
2019-08-02,27.0,15.0,42.0
2019-08-03,20.0,25.0,45.0
2019-08-04,47.0,30.0,77.0
2019-08-08,39.0,24.5,63.5
