Date,1st drop,2nd drop
27/11/19,27,19
28/11/19,25,15
30/11/19,18,13
01/12/19,60,20
01/12/19,15,15
02/12/19,40,15
07/12/19,42,22
09/12/19,27,9
13/12/19,40,8
14/12/19,25,14
23/12/19,30,9
23/12/19,23,7
24/12/19,20,8
25/12/19,6,3
26/12/19,7,8
28/12/19,17,7
30/12/19,30,11
03/01/20,20,15
04/01/20,25,15
05/01/20,30,16
06/01/20,30,21
09/01/20,25,15
10/01/20,25,15
11/01/20,27,25
19/01/20,15,12
22/01/20,30,18
23/01/20,25,15
25/01/20,30,15
27/01/20,30,12
02/02/20,25,20
03/02/20,30,9
07/02/20,40,15
08/02/20,30,15
20/02/20,20,15
22/02/20,33,18
24/02/20,20,15
01/03/20,18,12
02/03/20,19,13
06/03/20,25,15
07/03/20,30,16
01/05/20,25,15
03/09/20,25,10
